Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cryptosporidiosis, Cum 2018†","Cryptosporidiosis, Cum 2018†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag","Cyclosporiasis, Cum 2018†","Cyclosporiasis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
VERMONT,2019,3,,-,10,,,-,1,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190308
ALABAMA,2019,3,4,,8,,6,,7,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20190339
NEBRASKA,2019,3,,-,9,,,-,6,,,-,5,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190325
US RESIDENTS,2019,3,47,,428,,210,,364,,,-,572,,2,,3,,,US RESIDENTS,20190301
AMERICAN SAMOA,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20190364
NEW HAMPSHIRE,2019,3,,-,7,,4,,,-,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190306
ILLINOIS,2019,3,,-,21,,4,,6,,,-,398,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190315
LOUISIANA,2019,3,,-,5,,,-,7,,,-,2,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190345
US TERRITORIES,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190363
MOUNTAIN,2019,3,1,,48,,13,,29,,,-,10,,,-,1,,,MOUNTAIN,20190348
CALIFORNIA,2019,3,4,,25,,10,,23,,,-,23,,1,,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190359
GEORGIA,2019,3,1,,23,,10,,15,,,-,7,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190332
HAWAII,2019,3,,-,1,,1,,1,,,-,1,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190360
KENTUCKY,2019,3,1,,7,,2,,3,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190340
DELAWARE,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190329
VIRGINIA,2019,3,,-,14,,4,,15,,,-,5,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190336
MONTANA,2019,3,,-,5,,1,,3,,,-,3,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190352
EAST NORTH CENTRAL,2019,3,12,,117,,58,,75,,,-,456,,,-,,-,,EAST NORTH CENTRAL,20190314
MICHIGAN,2019,3,,-,16,,7,,7,,,-,5,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190317
SOUTH DAKOTA,2019,3,,-,15,,2,,2,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190327
FLORIDA,2019,3,,-,27,,,-,20,,,-,9,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190331
INDIANA,2019,3,,-,20,,,-,10,,,-,21,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190316
WISCONSIN,2019,3,3,,48,,17,,26,,,-,37,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190319
MISSISSIPPI,2019,3,,-,8,,1,,4,,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20190341
NORTHERN MARIANA ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190365
EAST SOUTH CENTRAL,2019,3,5,,20,,10,,27,,,-,3,,,-,,-,,EAST SOUTH CENTRAL,20190338
WEST NORTH CENTRAL,2019,3,1,,68,,16,,40,,,-,87,,1,,1,,,WEST NORTH CENTRAL,20190320
PENNSYLVANIA,2019,3,7,,20,,20,,20,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20190313
NEW YORK CITY,2019,3,,-,12,,7,,5,,,-,11,,,-,,-,,NEW YORK CITY,20190312
CONNECTICUT,2019,3,2,,8,,8,,4,,,-,4,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190303
SOUTH CAROLINA,2019,3,1,,6,,3,,5,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190335
TENNESSEE,2019,4,,-,10,,1,,16,,,-,3,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190442
UTAH,2019,4,2,,18,,5,,5,,,-,4,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190455
MARYLAND,2019,4,,-,7,,1,,4,,,-,7,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190433
EAST SOUTH CENTRAL,2019,4,2,,20,,16,,36,,,-,3,,,-,,-,,EAST SOUTH CENTRAL,20190438
EAST NORTH CENTRAL,2019,4,10,,117,,80,,103,,,-,456,,,-,,-,,EAST NORTH CENTRAL,20190414
US RESIDENTS,2019,4,50,,428,,323,,506,,,-,572,,2,,4,,,US RESIDENTS,20190401
INDIANA,2019,4,,-,20,,,-,13,,,-,21,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190416
MONTANA,2019,4,,-,5,,1,,5,,,-,3,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190452
DISTRICT OF COLUMBIA,2019,4,,-,4,,,-,1,,,-,3,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190430
ARIZONA,2019,4,1,,12,,5,,10,,,-,2,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190449
COLORADO,2019,4,,-,11,,5,,10,,,-,6,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190450
AMERICAN SAMOA,2019,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20190464
DELAWARE,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190429
NORTH DAKOTA,2019,4,,-,4,,,-,2,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20190426
SOUTH CAROLINA,2019,4,,-,6,,5,,6,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190435
MICHIGAN,2019,4,,-,16,,12,,14,,,-,5,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190417
NEW JERSEY,2019,4,,-,12,,,-,5,,,-,8,,,-,1,,"NEW JERSEY
(40.110253, -74.655514)",,20190410
KENTUCKY,2019,4,,-,7,,4,,4,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190440
MAINE,2019,4,,-,6,,,-,3,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190404
PENNSYLVANIA,2019,4,8,,20,,31,,25,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20190413
PUERTO RICO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190467
WEST SOUTH CENTRAL,2019,4,3,,61,,18,,53,,,-,49,,,-,,-,,WEST SOUTH CENTRAL,20190443
OKLAHOMA,2019,4,2,,10,,7,,3,,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20190446
WYOMING,2019,4,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(42.999627, -107.55145)",,20190456
HAWAII,2019,4,,-,1,,1,,1,,,-,1,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190460
CALIFORNIA,2019,4,1,,25,,14,,30,,,-,23,,1,,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190459
PACIFIC,2019,4,5,,45,,40,,58,,,-,26,,1,,,-,,PACIFIC,20190457
NEW YORK,2019,4,2,,20,,7,,5,,,-,9,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190411
CONNECTICUT,2019,4,,-,8,,10,,5,,,-,4,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190403
US TERRITORIES,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190463
SOUTH DAKOTA,2019,4,,-,15,,2,,5,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190427
NEW HAMPSHIRE,2019,4,,-,7,,5,,,-,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190406
ALASKA,2019,4,,-,2,,,-,,-,,-,1,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190458
NORTH CAROLINA,2019,4,,-,12,,6,,15,,,-,6,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190434
OHIO,2019,4,6,,36,,36,,34,,,-,23,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190418
VERMONT,2019,4,3,,10,,3,,2,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190408
MASSACHUSETTS,2019,4,1,,19,,10,,14,,,-,6,,,-,1,,"MASSACHUSETTS
(42.151077, -71.481104)",,20190405
NEW YORK CITY,2019,4,,-,12,,18,,7,,,-,11,,,-,,-,,NEW YORK CITY,20190412
IOWA,2019,4,2,,40,,10,,29,,,-,75,,,-,1,,"IOWA
(42.074659, -93.500061)",,20190421
NEVADA,2019,4,1,,6,,2,,1,,,N,,NC,,N,,N,"NEVADA
(39.283294, -114.916992)",,20190453
KANSAS,2019,4,,-,6,,,-,6,,,-,4,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190422
NON-US RESIDENTS,2019,4,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190469
GUAM,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190466
NORTHERN MARIANA ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190465
TOTAL,2019,4,50,,428,,323,,506,,,-,572,,2,,4,,,TOTAL,20190470
U.S. VIRGIN ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190468
NEBRASKA,2019,4,,-,9,,4,,7,,,-,5,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190425
MOUNTAIN,2019,4,7,,48,,23,,39,,,-,10,,,-,1,,,MOUNTAIN,20190448
VIRGINIA,2019,4,5,,14,,11,,20,,,-,5,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190436
MISSOURI,2019,4,,-,19,,9,,10,,,-,29,,1,,,-,"MISSOURI
(38.3675, -92.477244)",,20190424
MIDDLE ATLANTIC,2019,4,10,,51,,56,,42,,,-,23,,,-,1,,,MIDDLE ATLANTIC,20190409
LOUISIANA,2019,4,,-,5,,,-,12,,,-,2,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190445
NEW ENGLAND,2019,4,4,,49,,28,,26,,,-,10,,,-,1,,,NEW ENGLAND,20190402
WASHINGTON,2019,4,1,,35,,6,,3,,,-,3,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190462
RHODE ISLAND,2019,4,,-,37,,,-,2,,,-,2,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190407
WEST VIRGINIA,2019,4,,-,4,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190437
TEXAS,2019,4,1,,53,,9,,34,,,-,40,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190447
GEORGIA,2019,4,2,,23,,14,,17,,,-,7,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190432
OREGON,2019,4,3,,12,,19,,24,,,-,2,,,-,,-,"OREGON
(43.940449, -120.605279)",,20190461
WEST NORTH CENTRAL,2019,4,2,,68,,25,,59,,,-,87,,1,,1,,,WEST NORTH CENTRAL,20190420
MISSISSIPPI,2019,4,,-,8,,1,,5,,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20190441
ARKANSAS,2019,4,,-,5,,2,,4,,,-,1,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190444
MINNESOTA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190423
IDAHO,2019,4,2,,7,,4,,5,,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20190451
ILLINOIS,2019,4,,-,21,,9,,9,,,-,398,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190415
SOUTH ATLANTIC,2019,4,7,,69,,37,,90,,,-,26,,,-,,-,,SOUTH ATLANTIC,20190428
ALABAMA,2019,4,2,,8,,10,,11,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20190439
NEW MEXICO,2019,4,1,,10,,1,,2,,,-,1,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190454
WISCONSIN,2019,4,4,,48,,23,,33,,,-,133,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190419
FLORIDA,2019,4,,-,27,,,-,27,,,-,9,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190431
EAST SOUTH CENTRAL,2019,5,1,,20,,18,,43,,,-,3,,,-,,-,,EAST SOUTH CENTRAL,20190538
NORTH CAROLINA,2019,5,,-,12,,6,,21,,,-,6,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190534
MISSISSIPPI,2019,5,1,,8,,2,,5,,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20190541
ALASKA,2019,5,,-,2,,,-,,-,,-,1,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190558
NEBRASKA,2019,5,,-,9,,4,,9,,,-,5,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190525
VERMONT,2019,5,,-,10,,3,,2,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190508
IDAHO,2019,5,,-,7,,4,,7,,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20190551
VIRGINIA,2019,5,2,,14,,15,,22,,1,,5,,1,,,-,"VIRGINIA
(37.510861, -78.666382)",,20190536
WASHINGTON,2019,5,,-,35,,6,,3,,,-,3,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190562
MASSACHUSETTS,2019,5,2,,19,,16,,18,,,-,6,,,-,1,,"MASSACHUSETTS
(42.151077, -71.481104)",,20190505
MARYLAND,2019,5,,-,7,,1,,5,,,-,7,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190533
PENNSYLVANIA,2019,5,4,,20,,38,,34,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20190513
OHIO,2019,5,3,,36,,39,,48,,,-,23,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190518
MONTANA,2019,5,,-,5,,1,,5,,,-,3,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190552
NEW MEXICO,2019,5,,-,10,,1,,2,,,-,1,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190554
KANSAS,2019,5,,-,6,,4,,6,,,-,4,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190522
NEW JERSEY,2019,5,,-,12,,2,,5,,,-,8,,,-,1,,"NEW JERSEY
(40.110253, -74.655514)",,20190510
TEXAS,2019,5,,-,53,,10,,43,,,-,40,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190547
CALIFORNIA,2019,5,6,,25,,25,,36,,,-,23,,1,,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190559
DISTRICT OF COLUMBIA,2019,5,,-,4,,,-,5,,,-,3,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190530
PACIFIC,2019,5,8,,45,,54,,76,,,-,26,,1,,,-,,PACIFIC,20190557
US TERRITORIES,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190563
OREGON,2019,5,2,,12,,22,,36,,,-,2,,,-,,-,"OREGON
(43.940449, -120.605279)",,20190561
GUAM,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191066
NORTH DAKOTA,2019,5,,-,4,,,-,3,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20190526
AMERICAN SAMOA,2019,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20190564
SOUTH DAKOTA,2019,5,,-,15,,2,,6,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190527
ILLINOIS,2019,5,,-,21,,16,,11,,,-,398,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190515
ALABAMA,2019,5,,-,8,,10,,11,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20190539
NEW ENGLAND,2019,5,3,,49,,38,,32,,,-,10,,,-,1,,,NEW ENGLAND,20190502
U.S. VIRGIN ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190568
US RESIDENTS,2019,5,49,,428,,424,,632,,1,,572,,3,,4,,,US RESIDENTS,20190501
IOWA,2019,5,6,,40,,22,,33,,,-,75,,,-,1,,"IOWA
(42.074659, -93.500061)",,20190521
SOUTH CAROLINA,2019,5,,-,6,,6,,8,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190535
WYOMING,2019,5,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(42.999627, -107.55145)",,20190556
TENNESSEE,2019,5,,-,10,,1,,23,,,-,3,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190542
ARKANSAS,2019,5,,-,5,,2,,5,,,-,1,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190544
UTAH,2019,5,1,,18,,6,,9,,,-,4,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190555
LOUISIANA,2019,5,,-,4,,,-,16,,,-,2,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190545
MISSOURI,2019,5,1,,19,,11,,11,,,-,29,,1,,,-,"MISSOURI
(38.3675, -92.477244)",,20190524
NEVADA,2019,5,,-,6,,2,,1,,,N,,NC,,N,,N,"NEVADA
(39.283294, -114.916992)",,20190553
SOUTH ATLANTIC,2019,5,8,,69,,54,,118,,1,,26,,1,,,-,,SOUTH ATLANTIC,20190528
EAST NORTH CENTRAL,2019,5,5,,118,,97,,135,,,-,456,,,-,,-,,EAST NORTH CENTRAL,20190514
KENTUCKY,2019,5,,-,7,,5,,4,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190540
CONNECTICUT,2019,5,1,,8,,11,,5,,,-,4,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190503
DELAWARE,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190529
MIDDLE ATLANTIC,2019,5,14,,51,,80,,56,,,-,23,,,-,1,,,MIDDLE ATLANTIC,20190509
WISCONSIN,2019,5,2,,48,,27,,40,,,-,133,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190519
OKLAHOMA,2019,5,2,,10,,9,,3,,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20190546
NON-US RESIDENTS,2019,5,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190569
HAWAII,2019,5,,-,1,,1,,1,,,-,1,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190560
GEORGIA,2019,5,4,,24,,23,,20,,,-,7,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190532
TOTAL,2019,5,49,,428,,424,,632,,1,,572,,3,,4,,,TOTAL,20190570
MAINE,2019,5,,-,6,,,-,3,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190504
INDIANA,2019,5,,-,20,,,-,18,,,-,21,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190516
WEST NORTH CENTRAL,2019,5,7,,68,,43,,68,,,-,87,,1,,1,,,WEST NORTH CENTRAL,20190520
NEW HAMPSHIRE,2019,5,,-,7,,8,,1,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190506
MINNESOTA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190523
NEW YORK,2019,5,10,,20,,17,,7,,,-,9,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190511
WEST VIRGINIA,2019,5,2,,4,,3,,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190537
FLORIDA,2019,5,,-,27,,,-,37,,,-,9,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190531
COLORADO,2019,5,,-,11,,5,,12,,,-,6,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190550
RHODE ISLAND,2019,5,,-,37,,,-,3,,,-,2,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190507
ARIZONA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190549
MOUNTAIN,2019,5,1,,36,,19,,37,,,-,9,,,-,1,,,MOUNTAIN,20190548
PUERTO RICO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190567
WEST SOUTH CENTRAL,2019,5,2,,61,,21,,67,,,-,49,,,-,,-,,WEST SOUTH CENTRAL,20190543
MICHIGAN,2019,5,,-,16,,15,,18,,,-,5,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190517
NORTHERN MARIANA ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190565
GUAM,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190566
NEW YORK CITY,2019,5,,-,12,,23,,10,,,-,11,,,-,,-,,NEW YORK CITY,20190512
TOTAL,2019,6,42,,428,,539,,744,,,-,573,,4,,5,,,TOTAL,20190670
PUERTO RICO,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190667
OHIO,2019,6,4,,36,,43,,52,,,-,23,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190618
EAST NORTH CENTRAL,2019,6,7,,118,,116,,149,,,-,456,,1,,,-,,EAST NORTH CENTRAL,20190614
NEW MEXICO,2019,6,,-,10,,3,,3,,,-,1,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190654
LOUISIANA,2019,6,,-,4,,,-,19,,,-,2,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190645
IOWA,2019,6,,-,40,,22,,37,,,-,75,,,-,1,,"IOWA
(42.074659, -93.500061)",,20190621
WEST SOUTH CENTRAL,2019,6,5,,61,,33,,80,,,-,49,,,-,,-,,WEST SOUTH CENTRAL,20190643
ARIZONA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190649
KANSAS,2019,6,,-,6,,4,,6,,,-,4,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190622
INDIANA,2019,6,,-,20,,,-,19,,,-,21,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190616
ARKANSAS,2019,6,3,,5,,6,,9,,,-,1,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190644
SOUTH CAROLINA,2019,6,3,,6,,9,,10,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190635
CALIFORNIA,2019,6,1,,25,,28,,43,,,-,23,,1,,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190659
US RESIDENTS,2019,6,42,,428,,539,,744,,,-,573,,4,,5,,,US RESIDENTS,20190601
VIRGINIA,2019,6,2,,14,,22,,26,,,-,5,,1,,,-,"VIRGINIA
(37.510861, -78.666382)",,20190636
NORTHERN MARIANA ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190665
DELAWARE,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190629
TENNESSEE,2019,6,,-,10,,5,,26,,,-,3,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190642
UTAH,2019,6,,-,18,,7,,9,,,-,4,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190655
WEST VIRGINIA,2019,6,,-,4,,3,,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190637
COLORADO,2019,6,1,,11,,7,,15,,,-,6,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190650
MOUNTAIN,2019,6,3,,36,,29,,44,,,-,9,,,-,1,,,MOUNTAIN,20190648
SOUTH DAKOTA,2019,6,,-,15,,7,,7,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190627
AMERICAN SAMOA,2019,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20190664
SOUTH ATLANTIC,2019,6,7,,69,,72,,140,,,-,26,,1,,,-,,SOUTH ATLANTIC,20190628
OREGON,2019,6,,-,12,,24,,42,,,-,2,,,-,,-,"OREGON
(43.940449, -120.605279)",,20190661
KENTUCKY,2019,6,1,,7,,7,,5,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190640
NEW ENGLAND,2019,6,1,,48,,38,,36,,,-,10,,,-,1,,,NEW ENGLAND,20190602
PENNSYLVANIA,2019,6,3,,20,,42,,39,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20190613
NORTH CAROLINA,2019,6,,-,12,,10,,22,,,-,6,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190634
WASHINGTON,2019,6,,-,35,,6,,4,,,-,3,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190662
MISSOURI,2019,6,4,,19,,16,,19,,,-,29,,1,,,-,"MISSOURI
(38.3675, -92.477244)",,20190624
NEW JERSEY,2019,6,,-,12,,10,,6,,,-,8,,,-,1,,"NEW JERSEY
(40.110253, -74.655514)",,20190610
NORTH DAKOTA,2019,6,,-,4,,,-,5,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20190626
ALASKA,2019,6,,-,2,,,-,,-,,-,1,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190658
MINNESOTA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190623
NEW YORK,2019,6,8,,20,,24,,9,,,-,9,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190611
EAST SOUTH CENTRAL,2019,6,1,,20,,29,,55,,,-,3,,,-,,-,,EAST SOUTH CENTRAL,20190638
WISCONSIN,2019,6,2,,48,,36,,46,,,-,132,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190619
MARYLAND,2019,6,,-,7,,3,,5,,,-,7,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190633
MICHIGAN,2019,6,1,,16,,20,,19,,,-,5,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190617
NON-US RESIDENTS,2019,6,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190669
VERMONT,2019,6,,-,10,,3,,2,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190608
